id;store_id;checklist_item_id;criteria;severity;reference_photos;created_at;updated_at;enabled
d4986b1a-a6cd-48a2-b3d0-60b7a6bf0925;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;268a9898-398e-4356-b869-91797e3820af;Chão limpo.;medium;"[""https://qwetfynfpfjruswdnaps.supabase.co/storage/v1/object/public/inspection-references/d2118d7f-a6d2-4cea-a077-3d93a0cb5663/268a9898-398e-4356-b869-91797e3820af/1766523831194.jpg""]";2025-12-23 21:03:59.37689+00;2025-12-28 15:27:44.026766+00;false
58d388b6-e39d-42f9-8556-2bcf8936ae0f;9cc8182f-5502-4416-a701-05665a56088f;6ab96377-a35b-49c8-9c05-02c4d952abc2;;medium;[];2025-12-28 15:19:49.219236+00;2025-12-28 15:19:48.699+00;false
eb2f3a70-6009-4b8f-983a-d9c29d637c49;9cc8182f-5502-4416-a701-05665a56088f;299a07b4-cdb5-4c0d-b2b4-bd8efeaa6635;;medium;[];2025-12-28 15:19:54.958992+00;2025-12-28 15:19:54.516+00;false
6195dd2d-d440-4762-ba63-c680dd49851c;9cc8182f-5502-4416-a701-05665a56088f;0a3e64a8-bf04-4159-9862-d2ec430cf9e1;;medium;[];2025-12-28 15:19:59.862401+00;2025-12-28 15:19:59.351+00;false
6bf9f757-1e3d-4642-ac8a-b8ed27073b2a;9cc8182f-5502-4416-a701-05665a56088f;9d7b8777-a1c7-45ef-ae3e-5fc72bbb17a6;;medium;[];2025-12-28 15:20:05.101386+00;2025-12-28 15:20:04.56+00;false
2a72a89d-25e5-4c7f-a321-7d296668e6f4;9cc8182f-5502-4416-a701-05665a56088f;46970106-4b1e-4e26-b3fe-c902710f20a2;;medium;[];2025-12-28 15:20:07.910618+00;2025-12-28 15:20:07.237+00;false
66882023-8865-4251-b27e-988e05d932da;9cc8182f-5502-4416-a701-05665a56088f;f7b2766c-967a-4955-aa58-63dc68e3d147;;medium;[];2025-12-28 15:20:10.50909+00;2025-12-28 15:20:09.964+00;false
3b167312-cd6a-4c2b-8740-9fb3eeb83251;9cc8182f-5502-4416-a701-05665a56088f;4ff1a860-171b-454b-b135-75fc31355b04;;medium;[];2025-12-28 15:20:13.702975+00;2025-12-28 15:20:13.22+00;false
db1a319d-5b07-45f5-a066-e964b5b3b013;9cc8182f-5502-4416-a701-05665a56088f;b7a4e408-c011-4cc0-a88f-ff784e01fb38;;medium;[];2025-12-28 15:20:20.584236+00;2025-12-28 15:20:20.073+00;false
62e3479b-f088-4233-ad1b-2cf12f5dfbcd;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;45b5ec4d-381e-4dc4-9d35-d4044cad7f37;;medium;[];2025-12-28 15:21:05.892885+00;2025-12-28 15:21:05.432+00;false
d02e7b52-74b6-4333-ad11-750cbf5df00a;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;f6162164-e343-4417-8bf7-3c6ab2993de4;;medium;[];2025-12-28 15:21:08.858503+00;2025-12-28 15:21:08.422+00;false
8f0be2d2-1ca5-4d27-9e41-590718b6ef8d;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;e68df684-6bca-4bca-ac88-17efa77b8036;;medium;[];2025-12-28 15:21:11.850633+00;2025-12-28 15:21:11.413+00;false
6deef61e-39cf-4e9f-aa8e-2549404b6570;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;d8475346-b2df-4092-b472-db8dd27e7ac7;;medium;[];2025-12-28 15:21:15.7852+00;2025-12-28 15:21:15.302+00;false
1812df49-1125-41f9-b9d6-87db1b98441b;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;b986ffc7-c63d-4d47-8934-06556a6109ad;;medium;[];2025-12-28 15:21:18.522062+00;2025-12-28 15:21:18.081+00;false
1a9f61db-8fe2-4ffe-af7a-bb334501cc5f;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;e26a21e0-253b-4085-9940-42ef4ab0cb5e;;medium;[];2025-12-28 15:21:23.714722+00;2025-12-28 15:21:23.119+00;false
ab8e79ba-f07b-4bc6-ba6c-ff1be511d64e;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;632a4203-94f9-49d7-bd24-baff80741cef;;medium;[];2025-12-28 15:21:27.004418+00;2025-12-28 15:21:26.467+00;false
961b53df-f720-4577-94e3-73a3ffcb8e09;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;c76cf270-9def-4b67-9fb1-ac3b042847df;;medium;[];2025-12-28 15:21:30.089523+00;2025-12-28 15:21:29.538+00;false
e5d84536-b906-4b59-bc86-690f4fb7bda1;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;37123e88-1444-4378-8de2-babe52c98b12;;medium;[];2025-12-28 15:21:33.176174+00;2025-12-28 15:21:32.669+00;false
f0d51b50-72dd-4638-a951-085382d03d86;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;6c959c01-5198-4492-a856-883a61257f0d;;medium;[];2025-12-28 15:21:37.149645+00;2025-12-28 15:21:36.581+00;false
484abdbb-4031-4129-83f6-fae061cd3323;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;7763e69e-1ab2-4df4-8268-1917d9ae3c42;;medium;[];2025-12-28 15:21:40.007777+00;2025-12-28 15:21:39.485+00;false
44731732-b656-4369-ae1c-fa21fe48849c;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;5e761bf2-2ee5-4c69-b7f6-f0348678adcb;;medium;[];2025-12-28 15:21:44.692835+00;2025-12-28 15:21:44.151+00;false
d04e150a-dc2c-4bb0-96ce-f052762c6f81;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;8811cef8-ef15-47a7-81cc-9ad79c341b84;;medium;[];2025-12-28 15:21:48.032838+00;2025-12-28 15:21:47.515+00;false
63a35cb1-d011-4d5d-94cb-0ed96ca1aad0;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;1cf02fd8-e48e-4314-a030-b71f085ce3ae;;medium;[];2025-12-28 15:21:53.877579+00;2025-12-28 15:21:53.155+00;false
e1fee068-d3cf-4fe6-b4d8-5854d3b401dc;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;ab898cc9-0144-4f6e-a38f-6ab29b85c2d5;;medium;[];2025-12-28 15:22:21.440261+00;2025-12-28 15:22:20.896+00;false
335d28f7-3d2e-451b-bd87-2a305281ec31;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;cf655d01-9ca9-4ea3-bfee-560297f50609;;medium;[];2025-12-28 15:22:24.557169+00;2025-12-28 15:22:23.781+00;false
61dc23b1-a594-4cf4-b5a7-796134bf61f7;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;76109583-1633-4eab-8341-0222d89536c1;Bancada limpa e organizada com todos os apetrechos de trabalho organizados.;medium;"[""https://qwetfynfpfjruswdnaps.supabase.co/storage/v1/object/public/inspection-references/d2118d7f-a6d2-4cea-a077-3d93a0cb5663/76109583-1633-4eab-8341-0222d89536c1/1766523294208.jpg""]";2025-12-23 20:55:08.135439+00;2025-12-28 15:22:28.811219+00;false
e5f7a996-c3b4-428e-a32c-12a8d0dc1264;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;b3a31d49-63d4-4337-b01b-f1fa79322bb5;;medium;[];2025-12-28 15:22:31.797033+00;2025-12-28 15:22:31.28+00;false
82753612-0b56-48e5-a1cc-8aff59ce0b08;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;e00955ab-7318-45f6-a2eb-81d6c39e189f;;medium;[];2025-12-28 15:22:35.650516+00;2025-12-28 15:22:35.115+00;false
